マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
町田アパートメント,東京都新宿区若葉３,53,1階,65000.0,0,1,21.062,https://suumo.jp/chintai/jnc_000076488572/?bc=100286273356,65000.0,65000.0,ＪＲ中央線,信濃町駅,1.0,0,1,0,0,新宿区,若葉３,-215739.574165327,280739.574165327,65000.0
都営新宿線 曙橋駅 3階建 築5年,東京都新宿区市谷台町,5,1階,63000.0,10000,1,9.992,https://suumo.jp/chintai/jnc_000061270623/?bc=100316449315,0.0,0.0,都営新宿線,曙橋駅,1.0,0,0,0,0,新宿区,市谷台町,-215599.85207323136,288599.85207323136,73000.0
都営新宿線 新宿三丁目駅 11階建 築39年,東京都新宿区富久町,39,3階,55000.0,5000,1,16.062,https://suumo.jp/chintai/jnc_000080197654/?bc=100315737690,0.0,0.0,都営新宿線,新宿三丁目駅,3.0,0,1,0,0,新宿区,富久町,-215335.91953904688,275335.9195390469,60000.0
クレドハウス新宿,東京都新宿区新宿７,53,3階,55000.0,10000,1,13.532,https://suumo.jp/chintai/jnc_000078809544/?bc=100288364943,0.0,0.0,都営大江戸線,東新宿駅,3.0,0,0,0,0,新宿区,新宿７,-214800.56983217865,279800.56983217865,65000.0
旭ハイム,東京都新宿区下落合３,57,2階,56000.0,0,1,17.22,https://suumo.jp/chintai/jnc_000051487145/?bc=100283206493,56000.0,56000.0,ＪＲ山手線,目白駅,2.0,0,0,0,0,新宿区,下落合３,-213823.51103266946,269823.51103266946,56000.0
ふらわぁはうす,東京都新宿区西早稲田２,44,2階,60000.0,5000,1,15.232,https://suumo.jp/chintai/jnc_000079955354/?bc=100314101941,0.0,0.0,東京メトロ東西線,早稲田駅,2.0,0,0,0,0,新宿区,西早稲田２,-212303.68896650866,277303.68896650866,65000.0
カーサ落合2167,東京都新宿区上落合２,35,1階,51000.0,0,1,14.52,https://suumo.jp/chintai/jnc_000080702200/?bc=100318322542,51000.0,51000.0,都営大江戸線,中井駅,1.0,0,1,0,0,新宿区,上落合２,-211841.48984411207,262841.4898441121,51000.0
ＪＲ中央線 東中野駅 2階建 築65年,東京都新宿区北新宿３,65,2階,68000.0,2000,1,22.742,https://suumo.jp/chintai/jnc_000078327336/?bc=100316800861,0.0,0.0,ＪＲ中央線,東中野駅,2.0,0,1,0,0,新宿区,北新宿３,-211762.7331286893,281762.7331286893,70000.0
サンルートアライ,東京都新宿区西落合１,39,4階,52000.0,5000,1,15.122,https://suumo.jp/chintai/jnc_000080800917/?bc=100319113355,52000.0,0.0,都営大江戸線,落合南長崎駅,4.0,0,0,0,0,新宿区,西落合１,-209897.76733687863,266897.76733687863,57000.0
クリスタル中井　306号,東京都新宿区中井２,37,3階,55000.0,5000,1,15.082,https://suumo.jp/chintai/jnc_000079769601/?bc=100315508868,0.0,55000.0,西武新宿線,中井駅,3.0,0,0,0,0,新宿区,中井２,-208593.4992365921,268593.4992365921,60000.0
