マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
スカイコート神楽坂第２,東京都新宿区天神町,23,2階,77000.0,5000,1,20.652,https://suumo.jp/chintai/jnc_000080318684/?bc=100316100540,77000.0,77000.0,東京メトロ東西線,神楽坂駅,2.0,0,1,0,0,新宿区,天神町,-21154.40667711015,103154.40667711015,82000.0
西武新宿線 西武新宿駅 5階建 築20年,東京都新宿区百人町１,20,3階,82000.0,4000,1,17.682,https://suumo.jp/chintai/jnc_000043650676/?bc=100313804973,0.0,0.0,西武新宿線,西武新宿駅,3.0,0,1,0,0,新宿区,百人町１,-21153.176439960924,107153.17643996092,86000.0
BB ONE,東京都新宿区高田馬場３,14,1階,63000.0,1000,1,16.112,https://suumo.jp/chintai/jnc_000080369625/?bc=100316374597,63000.0,0.0,ＪＲ山手線,高田馬場駅,1.0,0,1,0,0,新宿区,高田馬場３,-21133.31177193331,85133.31177193331,64000.0
クレヴィア山吹神楽坂,東京都新宿区山吹町,2,2階,108000.0,10000,1,20.782,https://suumo.jp/chintai/jnc_000080108899/?bc=100314962288,108000.0,108000.0,東京メトロ有楽町線,江戸川橋駅,2.0,0,1,0,0,新宿区,山吹町,-21131.244208790187,139131.2442087902,118000.0
クレヴィア山吹神楽坂,東京都新宿区山吹町,2,2階,108000.0,10000,1,20.782,https://suumo.jp/chintai/jnc_000080085706/?bc=100314903115,108000.0,108000.0,東京メトロ有楽町線,江戸川橋駅,2.0,0,1,0,0,新宿区,山吹町,-21131.244208790187,139131.2442087902,118000.0
西武新宿線 中井駅 6階建 築16年,東京都新宿区上落合２,16,5階,87000.0,10000,1,27.352,https://suumo.jp/chintai/jnc_000062038496/?bc=100306339464,87000.0,87000.0,西武新宿線,中井駅,5.0,0,1,0,0,新宿区,上落合２,-21127.22873170534,118127.22873170534,97000.0
フレール西落合,東京都新宿区西落合４,31,1階,50000.0,4000,1,212.0,https://suumo.jp/chintai/jnc_000072035700/?bc=100283355723,0.0,0.0,都営大江戸線,落合南長崎駅,1.0,0,1,0,0,新宿区,西落合４,-21098.74648775588,75098.74648775588,54000.0
ガラ・シティ高田馬場,東京都新宿区下落合２,21,2階,80000.0,9000,1,24.842,https://suumo.jp/chintai/jnc_000029055424/?bc=100313006417,80000.0,80000.0,ＪＲ山手線,高田馬場駅,2.0,0,1,0,0,新宿区,下落合２,-21097.508601256457,110097.50860125646,89000.0
パレステュディオ新宿パークサイド,東京都新宿区西新宿４,20,6階,92000.0,8000,1,22.42,https://suumo.jp/chintai/jnc_000080583020/?bc=100317859175,0.0,92000.0,都営大江戸線,西新宿五丁目駅,6.0,0,1,0,0,新宿区,西新宿４,-21097.050755256787,121097.05075525679,100000.0
東京メトロ有楽町線 飯田橋駅 14階建 築10年,東京都新宿区下宮比町,10,2階,100000.0,5000,1,25.92,https://suumo.jp/chintai/jnc_000061523644/?bc=100307269057,100000.0,100000.0,東京メトロ有楽町線,飯田橋駅,2.0,0,1,0,0,新宿区,下宮比町,-21087.489266701436,126087.48926670144,105000.0
ＪＲ中央線 東中野駅 2階建 築35年,東京都新宿区北新宿３,35,2階,55000.0,2500,1,152.0,https://suumo.jp/chintai/jnc_000073680040/?bc=100290907371,55000.0,0.0,ＪＲ中央線,東中野駅,2.0,0,0,0,0,新宿区,北新宿３,-21030.47817559664,78530.47817559664,57500.0
東京メトロ東西線 早稲田駅 5階建 築19年,東京都新宿区西早稲田１,19,5階,63000.0,3000,1,14.052,https://suumo.jp/chintai/jnc_000079893091/?bc=100313787823,63000.0,63000.0,東京メトロ東西線,早稲田駅,5.0,0,0,0,0,新宿区,西早稲田１,-21005.72208581686,87005.72208581686,66000.0
東京メトロ丸ノ内線 新宿御苑前駅 15階建 築9年,東京都新宿区富久町,9,3階,135000.0,8000,1,31.582,https://suumo.jp/chintai/jnc_000079702970/?bc=100313168163,135000.0,135000.0,東京メトロ丸ノ内線,新宿御苑前駅,3.0,1,0,0,0,新宿区,富久町,-20945.284104984516,163945.28410498452,143000.0
アーバンプレイス新宿戸山Ｂ,東京都新宿区戸山３,7,2階,68000.0,0,1,132.0,https://suumo.jp/chintai/jnc_000079844362/?bc=100313434485,68000.0,0.0,東京メトロ副都心線,西早稲田駅,2.0,0,0,0,0,新宿区,戸山３,-20939.280061874335,88939.28006187433,68000.0
ガラ・シティ高田馬場,東京都新宿区下落合２,21,4階,80000.0,6000,1,20.662,https://suumo.jp/chintai/jnc_000079349649/?bc=100226336151,80000.0,80000.0,ＪＲ山手線,高田馬場駅,4.0,0,1,0,0,新宿区,下落合２,-20925.7846731132,106925.7846731132,86000.0
西山荘,東京都新宿区北新宿１,58,1階,41000.0,2000,1,102.0,https://suumo.jp/chintai/jnc_000027676981/?bc=100318892384,41000.0,41000.0,東京メトロ丸ノ内線,西新宿駅,1.0,0,0,0,0,新宿区,北新宿１,-20925.57404418489,63925.57404418489,43000.0
東京メトロ東西線 早稲田駅 12階建 築18年,東京都新宿区弁天町,18,8階,89000.0,10500,1,20.722,https://suumo.jp/chintai/jnc_000077323743/?bc=100311881178,0.0,89000.0,東京メトロ東西線,早稲田駅,8.0,0,1,0,0,新宿区,弁天町,-20925.345674249285,120425.34567424929,99500.0
クレイシア新宿,東京都新宿区新宿５,8,8階,134000.0,10500,1,25.442,https://suumo.jp/chintai/jnc_000078280076/?bc=100291669326,0.0,134000.0,東京メトロ丸ノ内線,新宿三丁目駅,8.0,0,1,0,0,新宿区,新宿５,-20924.306447136158,165424.30644713616,144500.0
都営大江戸線 若松河田駅 10階建 築2年,東京都新宿区原町３,2,7階,135000.0,8000,1,26.072,https://suumo.jp/chintai/jnc_000076716392/?bc=100298887709,135000.0,0.0,都営大江戸線,若松河田駅,7.0,1,0,0,0,新宿区,原町３,-20824.317907598655,163824.31790759866,143000.0
グレイス東中野,東京都新宿区上落合２,39,3階,114000.0,5000,2,36.852,https://suumo.jp/chintai/jnc_000038034392/?bc=100289977551,114000.0,0.0,東京メトロ東西線,落合駅,3.0,1,0,0,0,新宿区,上落合２,-20821.791230530245,139821.79123053025,119000.0
東京メトロ東西線 早稲田駅 5階建 築19年,東京都新宿区西早稲田１,19,3階,62000.0,3000,1,14.052,https://suumo.jp/chintai/jnc_000079893088/?bc=100313787857,62000.0,62000.0,東京メトロ東西線,早稲田駅,3.0,0,0,0,0,新宿区,西早稲田１,-20812.020042472766,85812.02004247277,65000.0
都営大江戸線 西新宿五丁目駅 2階建 築25年,東京都新宿区西新宿５,25,1階,75000.0,5000,1,22.952,https://suumo.jp/chintai/jnc_000080369633/?bc=100316480193,75000.0,0.0,都営大江戸線,西新宿五丁目駅,1.0,0,1,0,0,新宿区,西新宿５,-20801.623155190697,100801.6231551907,80000.0
西武新宿線 下落合駅 地下1地上2階建 築3年,東京都新宿区下落合４,3,B1階,56000.0,4000,1,11.092,https://suumo.jp/chintai/jnc_000080741626/?bc=100318627415,56000.0,0.0,西武新宿線,下落合駅,-1.0,0,0,0,0,新宿区,下落合４,-20781.51992658364,80781.51992658364,60000.0
ＪＲ中央線 大久保駅 3階建 築4年,東京都新宿区北新宿３,4,2階,69500.0,5000,1,9.162,https://suumo.jp/chintai/jnc_000053212511/?bc=100315531324,0.0,0.0,ＪＲ中央線,大久保駅,2.0,0,0,0,0,新宿区,北新宿３,-20778.414424776303,95278.4144247763,74500.0
シェソワ,東京都新宿区高田馬場４,17,1階,84000.0,4000,1,242.0,https://suumo.jp/chintai/jnc_000080575748/?bc=100317576625,84000.0,84000.0,ＪＲ山手線,高田馬場駅,1.0,0,1,0,0,新宿区,高田馬場４,-20745.31306652956,108745.31306652956,88000.0
東京メトロ副都心線 東新宿駅 13階建 築7年,東京都新宿区新宿６,7,3階,104000.0,8000,1,25.462,https://suumo.jp/chintai/jnc_000079568128/?bc=100312116963,0.0,104000.0,東京メトロ副都心線,東新宿駅,3.0,0,1,0,0,新宿区,新宿６,-20743.004921197775,132743.00492119777,112000.0
三和マンション３号館,東京都新宿区北新宿２,31,3階,73000.0,0,1,182.0,https://suumo.jp/chintai/jnc_000031472843/?bc=100283355661,73000.0,73000.0,都営大江戸線,中野坂上駅,3.0,0,1,0,0,新宿区,北新宿２,-20709.381044055088,93709.38104405509,73000.0
クレイシア神楽坂,東京都新宿区西五軒町,9,2階,110000.0,10000,1,27.142,https://suumo.jp/chintai/jnc_000033603869/?bc=100308685127,110000.0,110000.0,東京メトロ有楽町線,江戸川橋駅,2.0,0,1,0,0,新宿区,西五軒町,-20707.823824491352,140707.82382449135,120000.0
モリハウス,東京都新宿区上落合２,16,1階,60000.0,0,1,162.0,https://suumo.jp/chintai/jnc_000080895982/?bc=100319416719,60000.0,60000.0,東京メトロ東西線,落合駅,1.0,0,0,0,0,新宿区,上落合２,-20680.074534951724,80680.07453495172,60000.0
リヴェールK 中井,東京都新宿区上落合２,15,1階,72000.0,3000,1,24.62,https://suumo.jp/chintai/jnc_000080009645/?bc=100314883744,72000.0,72000.0,都営大江戸線,中井駅,1.0,0,1,0,0,新宿区,上落合２,-20674.15703786901,95674.15703786901,75000.0
サンレジデンスワセダ,東京都新宿区喜久井町,25,1階,69000.0,1000,1,18.152,https://suumo.jp/chintai/jnc_000058936749/?bc=100298323666,69000.0,0.0,東京メトロ東西線,早稲田駅,1.0,0,0,0,0,新宿区,喜久井町,-20663.23361983738,90663.23361983738,70000.0
西武新宿線 下落合駅 2階建 築34年,東京都新宿区上落合１,34,2階,54000.0,2000,1,17.392,https://suumo.jp/chintai/jnc_000080506948/?bc=100317349138,54000.0,54000.0,西武新宿線,下落合駅,2.0,0,0,0,0,新宿区,上落合１,-20650.292365514804,76650.2923655148,56000.0
メトリブ新宿,東京都新宿区北新宿１,25,1階,80000.0,5000,1,21.562,https://suumo.jp/chintai/jnc_000080131915/?bc=100315065021,80000.0,80000.0,ＪＲ中央線,大久保駅,1.0,0,1,0,0,新宿区,北新宿１,-20641.625802445094,105641.6258024451,85000.0
東京メトロ東西線 早稲田駅 12階建 築20年,東京都新宿区早稲田町,20,11階,80000.0,10000,1,22.592,https://suumo.jp/chintai/jnc_000080741662/?bc=100318537285,80000.0,80000.0,東京メトロ東西線,早稲田駅,11.0,0,1,0,0,新宿区,早稲田町,-20590.273290307872,110590.27329030787,90000.0
フェニキアＳＴＵＤＩＯ,東京都新宿区新宿７,9,1階,74000.0,3000,1,24.252,https://suumo.jp/chintai/jnc_000080362452/?bc=100298120908,74000.0,74000.0,東京メトロ副都心線,東新宿駅,1.0,0,0,0,0,新宿区,新宿７,-20565.356281875444,97565.35628187544,77000.0
ＪＲ山手線 新宿駅 地下1地上14階建 築43年,東京都新宿区西新宿３,43,14階,68000.0,0,1,17.822,https://suumo.jp/chintai/jnc_000080298404/?bc=100315999061,68000.0,0.0,ＪＲ山手線,新宿駅,14.0,0,0,0,0,新宿区,西新宿３,-20543.417669110102,88543.4176691101,68000.0
ＪＲ中央線 大久保駅 3階建 築26年,東京都新宿区北新宿３,26,2階,80000.0,3000,1,22.442,https://suumo.jp/chintai/jnc_000080179205/?bc=100315225114,80000.0,80000.0,ＪＲ中央線,大久保駅,2.0,0,1,0,0,新宿区,北新宿３,-20543.032217109358,103543.03221710936,83000.0
パークエムズ,東京都新宿区弁天町,30,2階,64000.0,0,1,18.842,https://suumo.jp/chintai/jnc_000080671565/?bc=100315908883,64000.0,0.0,東京メトロ東西線,早稲田駅,2.0,0,0,0,0,新宿区,弁天町,-20526.96788260044,84526.96788260044,64000.0
ＨＩＫＡＲＩ　III,東京都新宿区百人町２,14,2階,95000.0,3000,1,22.572,https://suumo.jp/chintai/jnc_000079394330/?bc=100311124659,95000.0,0.0,ＪＲ中央線,大久保駅,2.0,0,1,0,0,新宿区,百人町２,-20514.947742107164,118514.94774210716,98000.0
都営大江戸線 中井駅 9階建 築15年,東京都新宿区中落合１,15,8階,95000.0,10000,1,22.892,https://suumo.jp/chintai/jnc_000079345225/?bc=100316948227,0.0,0.0,都営大江戸線,中井駅,8.0,0,1,0,0,新宿区,中落合１,-20512.769029565738,125512.76902956574,105000.0
都営大江戸線 飯田橋駅 3階建 新築,東京都新宿区東五軒町,0,3階,114000.0,3000,1,23.62,https://suumo.jp/chintai/jnc_000080853004/?bc=100319156067,114000.0,114000.0,都営大江戸線,飯田橋駅,3.0,0,1,0,0,新宿区,東五軒町,-20511.27824748776,137511.27824748776,117000.0
シャモット市ヶ谷,東京都新宿区富久町,58,1階,84000.0,0,2,30.842,https://suumo.jp/chintai/jnc_000080662958/?bc=100318007108,84000.0,0.0,都営新宿線,曙橋駅,1.0,0,1,0,0,新宿区,富久町,-20510.025659541454,104510.02565954145,84000.0
エクセル,東京都新宿区上落合１,23,1階,68000.0,2000,1,19.442,https://suumo.jp/chintai/jnc_000079909031/?bc=100315497941,68000.0,68000.0,都営大江戸線,中井駅,1.0,0,1,0,0,新宿区,上落合１,-20494.27387954139,90494.27387954139,70000.0
エクセル,東京都新宿区上落合１,23,1階,68000.0,2000,1,20.622,https://suumo.jp/chintai/jnc_000079036897/?bc=100297628301,68000.0,0.0,都営大江戸線,中井駅,1.0,0,1,0,0,新宿区,上落合１,-20494.27387954139,90494.27387954139,70000.0
LIBR GRANT 四谷三丁目,東京都新宿区四谷４,0,1階,228000.0,10000,1,43.172,https://suumo.jp/chintai/jnc_000080188544/?bc=100309515033,228000.0,228000.0,東京メトロ丸ノ内線,四谷三丁目駅,1.0,1,0,1,0,新宿区,四谷４,-20489.963206298067,258489.96320629807,238000.0
ＪＲ中央線 市ケ谷駅 3階建 築19年,東京都新宿区市谷田町３,19,1階,83000.0,2000,1,24.12,https://suumo.jp/chintai/jnc_000064880164/?bc=100314604539,83000.0,83000.0,ＪＲ中央線,市ケ谷駅,1.0,0,1,0,0,新宿区,市谷田町３,-20474.87989164685,105474.87989164685,85000.0
アーバンプレイス高田馬場IV,東京都新宿区高田馬場３,14,2階,65000.0,3000,1,112.0,https://suumo.jp/chintai/jnc_000079762367/?bc=100313030958,65000.0,0.0,ＪＲ山手線,高田馬場駅,2.0,0,0,0,0,新宿区,高田馬場３,-20465.00755437161,88465.00755437161,68000.0
スカイコートヒルズ北新宿,東京都新宿区北新宿４,7,9階,110500.0,0,1,25.52,https://suumo.jp/chintai/jnc_000066325850/?bc=100318960730,110500.0,110500.0,ＪＲ中央線,東中野駅,9.0,0,1,0,0,新宿区,北新宿４,-20433.65107401315,130933.65107401315,110500.0
コマＵＤ２１,東京都新宿区西新宿４,22,5階,115000.0,10000,1,33.822,https://suumo.jp/chintai/jnc_000077883161/?bc=100314079349,115000.0,0.0,都営大江戸線,西新宿五丁目駅,5.0,0,1,0,0,新宿区,西新宿４,-20423.591348571877,145423.59134857188,125000.0
クレイシア新宿中落合,東京都新宿区中落合２,4,6階,108000.0,10500,1,25.612,https://suumo.jp/chintai/jnc_000056745328/?bc=100295534566,0.0,108000.0,西武新宿線,下落合駅,6.0,0,1,0,0,新宿区,中落合２,-20420.521266500175,138920.52126650017,118500.0
落合ハイツ,東京都新宿区山吹町,40,3階,69000.0,0,1,26.092,https://suumo.jp/chintai/jnc_000080257324/?bc=100315768005,69000.0,0.0,東京メトロ有楽町線,江戸川橋駅,3.0,0,1,0,0,新宿区,山吹町,-20409.326309998447,89409.32630999845,69000.0
夏目坂ハイム,東京都新宿区喜久井町,45,3階,86000.0,8000,1,35.212,https://suumo.jp/chintai/jnc_000073016618/?bc=100317567792,86000.0,86000.0,東京メトロ東西線,早稲田駅,3.0,1,0,0,0,新宿区,喜久井町,-20397.749463938584,114397.74946393858,94000.0
西武新宿線 下落合駅 11階建 築5年,東京都新宿区下落合４,5,8階,99000.0,12000,1,25.472,https://suumo.jp/chintai/jnc_000045134965/?bc=100319184503,0.0,0.0,西武新宿線,下落合駅,8.0,0,0,0,0,新宿区,下落合４,-20387.184866646538,131387.18486664654,111000.0
ハイネス,東京都新宿区上落合３,21,2階,63000.0,2000,1,16.52,https://suumo.jp/chintai/jnc_000064939687/?bc=100298351464,0.0,0.0,東京メトロ東西線,落合駅,2.0,0,1,0,0,新宿区,上落合３,-20382.08535337416,85382.08535337416,65000.0
東京メトロ丸ノ内線 新宿御苑前駅 15階建 築16年,東京都新宿区新宿１,16,10階,102000.0,9000,1,23.492,https://suumo.jp/chintai/jnc_000077739822/?bc=100307828320,102000.0,102000.0,東京メトロ丸ノ内線,新宿御苑前駅,10.0,0,1,0,0,新宿区,新宿１,-20378.62169938814,131378.62169938814,111000.0
ＪＲ山手線 高田馬場駅 3階建 築35年,東京都新宿区高田馬場３,35,2階,90000.0,2000,1,25.512,https://suumo.jp/chintai/jnc_000080270157/?bc=100295767774,90000.0,90000.0,ＪＲ山手線,高田馬場駅,2.0,1,0,0,0,新宿区,高田馬場３,-20371.9878784046,112371.9878784046,92000.0
グランパセオ四谷若葉,東京都新宿区若葉３,4,1階,120000.0,15000,1,25.552,https://suumo.jp/chintai/jnc_000080001848/?bc=100315846931,0.0,0.0,ＪＲ中央線,信濃町駅,1.0,0,1,0,0,新宿区,若葉３,-20366.714403577236,155366.71440357724,135000.0
都営大江戸線 西新宿五丁目駅 2階建 築15年,東京都新宿区西新宿４,15,2階,65000.0,3000,1,16.912,https://suumo.jp/chintai/jnc_000070256134/?bc=100317937104,0.0,0.0,都営大江戸線,西新宿五丁目駅,2.0,0,0,0,0,新宿区,西新宿４,-20322.505110957907,88322.5051109579,68000.0
パレステュディオ信濃町,東京都新宿区信濃町,19,9階,89000.0,9000,1,22.42,https://suumo.jp/chintai/jnc_000079838671/?bc=100314051513,89000.0,89000.0,ＪＲ中央線,信濃町駅,9.0,0,1,0,0,新宿区,信濃町,-20312.937345019862,118312.93734501986,98000.0
コーポSATO,東京都新宿区若葉３,38,2階,84000.0,0,1,36.452,https://suumo.jp/chintai/jnc_000080864909/?bc=100301271139,84000.0,84000.0,ＪＲ中央線,信濃町駅,2.0,1,0,0,1,新宿区,若葉３,-20301.637341090856,104301.63734109086,84000.0
東京メトロ東西線 早稲田駅 2階建 築6年,東京都新宿区喜久井町,6,1階,60000.0,4000,1,10.832,https://suumo.jp/chintai/jnc_000079457234/?bc=100311506285,60000.0,0.0,東京メトロ東西線,早稲田駅,1.0,0,0,0,0,新宿区,喜久井町,-20288.280609931724,84288.28060993172,64000.0
都営大江戸線 東新宿駅 13階建 築41年,東京都新宿区新宿６,41,11階,148000.0,0,1,47.632,https://suumo.jp/chintai/jnc_000078889505/?bc=100297371312,148000.0,148000.0,都営大江戸線,東新宿駅,11.0,1,0,1,0,新宿区,新宿６,-20250.390810006007,168250.390810006,148000.0
ポルトグランデ四谷三丁目,東京都新宿区荒木町,3,B1階,189000.0,10000,1,37.212,https://suumo.jp/chintai/jnc_000080770873/?bc=100318681471,0.0,0.0,都営新宿線,曙橋駅,-1.0,1,0,1,0,新宿区,荒木町,-20249.67599112171,219249.6759911217,199000.0
都営大江戸線 若松河田駅 地下1地上2階建 築4年,東京都新宿区原町３,4,1階,65000.0,5000,1,9.022,https://suumo.jp/chintai/jnc_000053580656/?bc=100315531894,0.0,0.0,都営大江戸線,若松河田駅,1.0,0,0,0,0,新宿区,原町３,-20238.251799378486,90238.25179937849,70000.0
シャトレ高田馬場,東京都新宿区高田馬場３,21,5階,60000.0,3000,1,13.022,https://suumo.jp/chintai/jnc_000024758607/?bc=100211162547,60000.0,60000.0,ＪＲ山手線,高田馬場駅,5.0,0,0,0,0,新宿区,高田馬場３,-20233.54696248882,83233.54696248882,63000.0
緑ヶ丘マンション,東京都新宿区西新宿４,54,3階,99000.0,2000,1,41.32,https://suumo.jp/chintai/jnc_000031089478/?bc=100312412357,99000.0,0.0,都営大江戸線,西新宿五丁目駅,3.0,0,0,0,0,新宿区,西新宿４,-20229.446701911365,121229.44670191137,101000.0
東京メトロ東西線 落合駅 2階建 築33年,東京都新宿区上落合３,33,1階,58000.0,2000,1,18.632,https://suumo.jp/chintai/jnc_000080119192/?bc=100314999964,58000.0,0.0,東京メトロ東西線,落合駅,1.0,0,0,0,0,新宿区,上落合３,-20221.988000603742,80221.98800060374,60000.0
都営大江戸線 若松河田駅 14階建 築6年,東京都新宿区若松町,6,4階,138000.0,10500,1,25.572,https://suumo.jp/chintai/jnc_000078814656/?bc=100291615199,0.0,138000.0,都営大江戸線,若松河田駅,4.0,0,1,0,0,新宿区,若松町,-20217.802215326286,168717.8022153263,148500.0
パークキューブ西新宿,東京都新宿区北新宿１,9,6階,126000.0,10000,1,25.072,https://suumo.jp/chintai/jnc_000079050130/?bc=100309252600,126000.0,126000.0,ＪＲ中央線,大久保駅,6.0,0,1,0,0,新宿区,北新宿１,-20199.026439836598,156199.0264398366,136000.0
東京メトロ丸ノ内線 新宿御苑前駅 15階建 築16年,東京都新宿区新宿１,16,8階,99000.0,10000,1,23.492,https://suumo.jp/chintai/jnc_000079962734/?bc=100314184537,0.0,99000.0,東京メトロ丸ノ内線,新宿御苑前駅,8.0,0,1,0,0,新宿区,新宿１,-20174.245423244196,129174.2454232442,109000.0
東京メトロ東西線 落合駅 2階建 築42年,東京都新宿区上落合３,42,2階,43000.0,2000,1,152.0,https://suumo.jp/chintai/jnc_000075776734/?bc=100290902554,43000.0,0.0,東京メトロ東西線,落合駅,2.0,0,0,0,0,新宿区,上落合３,-20167.83767571312,65167.83767571312,45000.0
ラウレア上落合,東京都新宿区上落合３,12,2階,88000.0,3000,1,202.0,https://suumo.jp/chintai/jnc_000074850242/?bc=100292039423,88000.0,88000.0,西武新宿線,中井駅,2.0,0,1,0,0,新宿区,上落合３,-20155.634038323624,111155.63403832362,91000.0
都営大江戸線 落合南長崎駅 7階建 築6年,東京都新宿区西落合１,6,6階,110000.0,10500,1,25.822,https://suumo.jp/chintai/jnc_000079740534/?bc=100314504305,0.0,110000.0,都営大江戸線,落合南長崎駅,6.0,0,1,0,0,新宿区,西落合１,-20153.621993409644,140653.62199340964,120500.0
都営大江戸線 飯田橋駅 3階建 新築,東京都新宿区東五軒町,0,2階,112000.0,3000,1,23.62,https://suumo.jp/chintai/jnc_000080853003/?bc=100319156064,112000.0,112000.0,都営大江戸線,飯田橋駅,2.0,0,1,0,0,新宿区,東五軒町,-20153.23410688818,135153.23410688818,115000.0
サンレイ市ヶ谷,東京都新宿区市谷田町２,6,1階,89000.0,5000,1,22.42,https://suumo.jp/chintai/jnc_000039358456/?bc=100314654969,89000.0,0.0,ＪＲ中央線,市ケ谷駅,1.0,0,1,0,0,新宿区,市谷田町２,-20139.737462306948,114139.73746230695,94000.0
アーバンプレイス西早稲田II,東京都新宿区戸山３,9,2階,66000.0,3000,1,10.872,https://suumo.jp/chintai/jnc_000063168788/?bc=100315349310,66000.0,0.0,東京メトロ東西線,早稲田駅,2.0,0,0,0,0,新宿区,戸山３,-20120.231096116608,89120.23109611661,69000.0
ＪＲ山手線 高田馬場駅 2階建 築7年,東京都新宿区下落合１,7,2階,63000.0,3000,1,9.782,https://suumo.jp/chintai/jnc_000015037571/?bc=100317399701,0.0,0.0,ＪＲ山手線,高田馬場駅,2.0,0,0,0,0,新宿区,下落合１,-20107.462966639985,86107.46296663999,66000.0
グリーンハイム,東京都新宿区上落合３,35,3階,60000.0,3000,1,18.22,https://suumo.jp/chintai/jnc_000024800251/?bc=100315771227,60000.0,0.0,東京メトロ東西線,落合駅,3.0,0,1,0,0,新宿区,上落合３,-20103.936090291667,83103.93609029167,63000.0
牧野ビル・マンション大扇,東京都新宿区早稲田鶴巻町,35,2階,59000.0,3000,1,15.52,https://suumo.jp/chintai/jnc_000078292257/?bc=100304960741,59000.0,59000.0,東京メトロ東西線,早稲田駅,2.0,0,0,0,0,新宿区,早稲田鶴巻町,-20097.95440620296,82097.95440620296,62000.0
ガリシア早稲田,東京都新宿区弁天町,18,1階,78000.0,12000,1,20.722,https://suumo.jp/chintai/jnc_000079638807/?bc=100312575658,0.0,0.0,東京メトロ東西線,早稲田駅,1.0,0,1,0,0,新宿区,弁天町,-20079.95204666321,110079.95204666321,90000.0
都営大江戸線 中井駅 2階建 築36年,東京都新宿区中落合４,36,1階,64000.0,5000,1,19.872,https://suumo.jp/chintai/jnc_000080339112/?bc=100316277347,64000.0,0.0,都営大江戸線,中井駅,1.0,0,1,0,0,新宿区,中落合４,-20074.36915758798,89074.36915758798,69000.0
ＪＲ中央線 大久保駅 4階建 築4年,東京都新宿区北新宿１,4,3階,112000.0,10000,1,25.522,https://suumo.jp/chintai/jnc_000057983939/?bc=100307953342,0.0,112000.0,ＪＲ中央線,大久保駅,3.0,0,1,0,0,新宿区,北新宿１,-20071.03321340008,142071.03321340008,122000.0
信川ハイツ,東京都新宿区市谷台町,51,4階,105000.0,0,1,332.0,https://suumo.jp/chintai/jnc_000050805192/?bc=100318632510,105000.0,105000.0,都営新宿線,曙橋駅,4.0,0,0,0,0,新宿区,市谷台町,-20046.20352599307,125046.20352599307,105000.0
ＪＲ山手線 高田馬場駅 2階建 築3年,東京都新宿区高田馬場３,3,1階,67000.0,3000,1,10.132,https://suumo.jp/chintai/jnc_000063259994/?bc=100317515649,0.0,0.0,ＪＲ山手線,高田馬場駅,1.0,0,0,0,0,新宿区,高田馬場３,-20042.768200336577,90042.76820033658,70000.0
モンピエス,東京都新宿区西落合１,34,2階,60000.0,3000,1,202.0,https://suumo.jp/chintai/jnc_000071342676/?bc=100170434991,60000.0,0.0,都営大江戸線,落合南長崎駅,2.0,0,1,0,0,新宿区,西落合１,-20040.758640342247,83040.75864034225,63000.0
都営大江戸線 中井駅 2階建 築12年,東京都新宿区中井２,12,1階,85000.0,5500,1,26.712,https://suumo.jp/chintai/jnc_000075141476/?bc=100317089779,0.0,85000.0,都営大江戸線,中井駅,1.0,0,1,0,0,新宿区,中井２,-20021.959104938476,110521.95910493848,90500.0
東京メトロ有楽町線 江戸川橋駅 8階建 築22年,東京都新宿区山吹町,22,5階,70000.0,6000,1,21.322,https://suumo.jp/chintai/jnc_000067590570/?bc=100318510980,70000.0,70000.0,東京メトロ有楽町線,江戸川橋駅,5.0,0,1,0,0,新宿区,山吹町,-20006.61168772432,96006.61168772432,76000.0
東京メトロ副都心線 東新宿駅 11階建 新築,東京都新宿区新宿６,0,6階,131000.0,10000,1,25.422,https://suumo.jp/chintai/jnc_000080829544/?bc=100318997453,0.0,0.0,東京メトロ副都心線,東新宿駅,6.0,0,0,0,0,新宿区,新宿６,-19988.910379295878,160988.91037929588,141000.0
ＪＲ山手線 新宿駅 2階建 築8年,東京都新宿区大久保２,8,1階,69000.0,5000,1,9.12,https://suumo.jp/chintai/jnc_000042096089/?bc=100301881900,0.0,0.0,ＪＲ山手線,新宿駅,1.0,0,0,0,0,新宿区,大久保２,-19985.799634883297,93985.7996348833,74000.0
東京メトロ東西線 神楽坂駅 3階建 築31年,東京都新宿区赤城下町,31,3階,74000.0,6000,1,20.192,https://suumo.jp/chintai/jnc_000079833533/?bc=100301896037,37000.0,37000.0,東京メトロ東西線,神楽坂駅,3.0,0,1,0,0,新宿区,赤城下町,-19976.691895619864,99976.69189561986,80000.0
ハウス石川,東京都新宿区西落合２,32,2階,52000.0,0,1,14.52,https://suumo.jp/chintai/jnc_000067237337/?bc=100283259259,0.0,0.0,西武新宿線,新井薬師前駅,2.0,0,0,0,0,新宿区,西落合２,-19956.21362549509,71956.21362549509,52000.0
ＫＳビル,東京都新宿区高田馬場４,25,2階,140000.0,5000,1,40.122,https://suumo.jp/chintai/jnc_000064327487/?bc=100283259239,145000.0,140000.0,ＪＲ山手線,高田馬場駅,2.0,0,0,0,0,新宿区,高田馬場４,-19954.535103915026,164954.53510391503,145000.0
